dbid,subject,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,d_t_2,linear_time,triangular_time,draw_time,totalTime,LM_T_M,TM_T_M,DT_T_M,TOTAL_T_M,DIFF_T_M,linear_score,triangular_score,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,EDUCATION,MAJOR,GENDER,PREFERENCE,FLAG
58e45f84d46cc6fa347eac15,1TOKK,experiment,alfa,2,axis,longmire,4,7,3,6,1,323944,467263,169672,693145,26595,874527,791207,862817,901122,2921084,13.19,14.38,15.02,48.68,-1.19,11,9,-2,-71610,21,19,India,English,First,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45f84d46cc6fa347eac16,TMBDE,reverse,alfa,0,axis,longmire,4,5,2,3,1,170610,458183,167828,816211,193835,606465,628793,984039,800300,2717972,10.48,16.40,13.34,45.30,-5.92,9,5,-4,-355246,15,21,USA,English,Fourth,Natural Sciences,Female,the second one (triangular),
58e45f84d46cc6fa347eac17,FTSL1,experiment,alfa,0,longmire,axis,4,8,1,0,2,151691,394924,312031,401353,153277,820621,546615,713384,973898,2452276,9.11,11.89,16.23,40.87,-2.78,12,1,-11,-166769,15,18,USA,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f84d46cc6fa347eac18,UVPNA,reverse,alfa,3,axis,longmire,4,5,4,8,2,143134,315774,267617,721501,622975,147532,458908,989118,770507,2748243,7.65,16.49,12.84,45.80,-8.84,9,12,3,-530210,23,20,Mexico ,Spanish,Third,Natural Sciences,Female,the second one (triangular),
58e45f84d46cc6fa347eac19,YHU8T,experiment,alfa,0,axis,longmire,5,4,3,4,0,189577,396414,205147,637973,165923,566650,585991,843120,732573,2530148,9.77,14.05,12.21,42.17,-4.29,9,7,-2,-257129,16,23,Korea,Other,Third,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45f84d46cc6fa347eac1a,67JMM,experiment,alfa,0,longmire,axis,5,6,3,8,2,158318,497265,485284,337582,265082,457078,655583,822866,722160,2454470,10.93,13.71,12.04,40.91,-2.79,11,11,0,-167283,24,18,USA,English,First,Natural Sciences,Male,the first one (linear,
58e45f84d46cc6fa347eac1b,WFQJK,experiment,alfa,3,axis,longmire,5,9,4,9,1,175697,282442,116223,319138,140347,678491,458139,435361,818838,2011141,7.64,7.26,13.65,33.52,0.38,14,13,-1,22778,28,22,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Male,the second one (triangular),
58e45f84d46cc6fa347eac1c,CK7VW,reverse,alfa,3,longmire,axis,4,6,3,6,1,100247,479098,341516,417999,54019,631007,579345,759515,685026,2310484,9.66,12.66,11.42,38.51,-3.00,10,9,-1,-180170,20,20,USA,Other,Third,Social Sciences (incl. CogSci),Female,the first one (linear,
58e45f84d46cc6fa347eac1d,S9XA4,reverse,alfa,0,longmire,axis,3,6,0,0,0,197036,444313,387568,662236,83048,1089972,641349,1049804,1173020,3005025,10.69,17.50,19.55,50.08,-6.81,9,0,-9,-408455,9,22,USA,English,Fourth,Social Sciences (incl. CogSci),Male,the first one (linear,
58e45f84d46cc6fa347eac1e,RKCHG,reverse,alfa,0,longmire,axis,4,4,1,0,1,94000,393301,298793,379629,472570,313279,487301,678422,785849,2233627,8.12,11.31,13.10,37.23,-3.19,8,1,-7,-191121,10,20,USA,English,Third,Social Sciences (incl. CogSci),Female,the first one (linear,
