dbid,subject,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,d_t_2,linear_time,triangular_time,draw_time,totalTime,LM_T_M,TM_T_M,DT_T_M,TOTAL_T_M,DIFF_T_M,linear_score,triangular_score,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,EDUCATION,MAJOR,GENDER,PREFERENCE,Rater,Graph Type,Graph Description (if other),X Axis,Y Axis,Graph Title,Data Point Labels,X Gridlines,Y Gridlines,Point Triangles,X-Axis Scale,Y-Axis Scale,Flag for Review,Points,DRAW_SCORE,ARF,Select each item that is labelled in the graph,Comments
58e45f84d46cc6fa347eac22,1TL49,reverse,alfa,0,axis,longmire,3,5,3,2,0,90724,223627,73739,291109,100545,349132,314351,364848,449677,1352540,5.24,6.08,7.49,22.54,-0.84,8,5,-3,-50497,13,19,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Triangular (right angle),,Time,# of hours,Patient Trials,Yes,None,None,No,1/2 hour,1/2 hour,no,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,"This was a right triangular model, but they drew a random triangle in the middle of graph"
58e45f84d46cc6fa347eac15,1TOKK,experiment,alfa,2,axis,longmire,4,7,3,6,1,323944,467263,169672,693145,26595,874527,791207,862817,901122,2921084,13.19,14.38,15.02,48.68,-1.19,11,9,-2,-71610,21,19,India,English,First,Social Sciences (incl. CogSci),Male,the first one (linear,Evan,Triangular,,Time,NA-CUT OFF,NA-CUT OFF,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,The labels were cut off; might want to go back to original and find what those were if interested
58e45f84d46cc6fa347eac20,565WH,reverse,alfa,3,axis,longmire,5,8,4,8,2,122156,250259,147557,384736,99037,535211,372415,532293,634248,1817125,6.21,8.87,10.57,30.29,-2.66,13,12,-1,-159878,27,21,USA,English,Fourth,Biomedical & Health Sciences,Female,the second one (triangular),Evan,Triangular,,Start and End Times,Duration (hours),Patient Schedules Indicating Start and End times and the duration of their appointments,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45f84d46cc6fa347eac1a,67JMM,experiment,alfa,0,longmire,axis,5,6,3,8,2,158318,497265,485284,337582,265082,457078,655583,822866,722160,2454470,10.93,13.71,12.04,40.91,-2.79,11,11,0,-167283,24,18,USA,English,First,Natural Sciences,Male,the first one (linear,Evan,Triangular,,Start/End Time,Duration,NA,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45f84d46cc6fa347eac1c,CK7VW,reverse,alfa,3,longmire,axis,4,6,3,6,1,100247,479098,341516,417999,54019,631007,579345,759515,685026,2310484,9.66,12.66,11.42,38.51,-3,10,9,-1,-180170,20,20,USA,Other,Third,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Linear Model,,Start/end time,NA-CUT OFF,NA,Yes,None,None,No,1 hour,Trial#,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #, Trial #",This person graphed lines in the same regions for trials instead of on the exact line labeled one
58e45f84d46cc6fa347eac28,E8DLP,experiment,alfa,3,longmire,axis,2,3,3,3,0,85259,241746,143879,179775,206197,146521,327005,323654,352718,1321572,5.45,5.39,5.88,22.03,0.06,5,6,1,3351,11,19,TURKEY,Other,First,Natural Sciences,Female,the first one (linear,Evan,Triangular,,NA,Hours,James Scheduling,Yes,None,None,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,X,Patient #,This participant graphed the y-axis diagonally
58e45f84d46cc6fa347eac17,FTSL1,experiment,alfa,0,longmire,axis,4,8,1,0,2,151691,394924,312031,401353,153277,820621,546615,713384,973898,2452276,9.11,11.89,16.23,40.87,-2.78,12,1,-11,-166769,15,18,USA,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Triangular (right angle),,Time,Hours,Patient Schedule,Yes,Complete grid,Horizontal,No,1/2 hour,1/2 hour,Yes,,0,,Patient #,"This person did a complete grid on this graph, so at first glance it looks like they definitely understood the triangular model concept. However, they still just plotted the points without drawing intersecting lines to the points. I don't know if they did a right triangular scheme because although the vertical intersecting line was correct on all of them, the invisible diagonal line for the end times were all wrong. Is it just a scatterplot then?"
58e45f84d46cc6fa347eac27,HF8PP,experiment,alfa,2,longmire,axis,3,8,3,9,2,63703,286471,164220,215431,120791,372105,350174,379651,492896,1436835,5.84,6.33,8.21,23.95,-0.49,11,12,1,-29477,25,20,USA,English,Third,Math or Computer Sciences,Male,the second one (triangular),Evan,Triangular,,Time of Day,NA/unreadable,NA/looks cut off,Yes,None,None,No,1 hour,1 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,"Did not draw any axis, used only the dots to make the graph. Also the axis labels are cut off so might want to go back to original copy and see what those were."
58e45f84d46cc6fa347eac23,K4PCN,experiment,alfa,3,axis,longmire,5,8,4,10,2,150219,300856,160929,422574,288012,741116,451075,583503,1029128,2815590,7.52,9.73,17.15,46.93,-2.21,13,14,1,-132428,29,21,China,Mandarin or Cantonese,Third,Math or Computer Sciences,Female,the first one (linear,Evan,Triangular,,time,Duration (in hours),James' Patient Schedules,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Duration, Patient #",
58e45f84d46cc6fa347eac25,RGU59,reverse,alfa,0,axis,longmire,5,8,4,8,2,129529,380276,221921,321893,88726,668534,509805,543814,757260,2119895,8.5,9.06,12.62,35.33,-0.57,13,12,-1,-34009,27,18,USA,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Triangular,,times,duration,patient scheduling,Yes,None,None,Yes,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Duration, Patient #","Made an enclosed graph in the shape of a triangle; not only did they slant the y-axis, they completed the slant on the other side so a triangle was made"
