dbid		experiment	session	condition	lm_scenarios	tm_scenarios	ls_n	lt_n	ts_n	tt_n	d_n	ls_t	lt_t	ts_t	tt_t	d_t	draw_t	totalTime	TOTAL_T_M	LM_T_M	TM_T_M	D_T_M	DIFF_T_M	subject	linear_score	triangular_score	linear_time	triangular_time	score_diff	time_diff	totalScore	AGE	COUNTRY	LANGUAGE	EDUCATION	MAJOR	GENDER	PREFERENCE			
58ffef548c1cc23bab096a24		experiment	expert	e4	longmire	axis	5	10	5	10	2	181298	539140	181467	347357	41727	281441	1678129	27.97	12.01	8.81	5.39	3.19	1J0CV	15	15	720438	528824	0	191614	32	22	Taiwan	Mandarin or Cantonese	Fourth	Social Sciences (incl. CogSci)	Female	the second one (triangular)		KAI	
58ffef548c1cc23bab096a25		experiment	expert	e4	axis	longmire	5	7	5	7	2	147755	397317	114890	352570	34142	327791	1480664	24.68	9.08	7.79	6.03	1.29	V7F3B	12	12	545072	467460	0	77612	26	20	USA	English	Third	Social Sciences (incl. CogSci)	Female	the second one (triangular)		EVAN	
58ffef548c1cc23bab096a26		experiment	expert	e4	longmire	axis	3	8	5	8	2	158954	535111	132943	337370	11187	457740	1777666	29.63	11.57	7.84	7.82	3.73	NOS98	11	13	694065	470313	2	223752	26	20	USA	Mandarin or Cantonese	Second	Social Sciences (incl. CogSci)	Female	the second one (triangular)		HAZEL	
58ffef548c1cc23bab096a27		experiment	expert	e0	axis	longmire	4	6	5	6	2	217116	554872	129699	624081	98578	665210	2798663	46.64	12.87	12.56	12.73	0.30	KUPVH	10	11	771988	753780	1	18208	23	20	USA	English	Third	Social Sciences (incl. CogSci)	Female	the second one (triangular)		EVAN	
58ffef548c1cc23bab096a28		experiment	expert	e0	axis	longmire	4	4	5	7	2	120068	251114	102579	369531	80910	525944	1759115	29.32	6.19	7.87	10.11	-1.68	Y07OR	8	12	371182	472110	4	-100928	22	20	USA	Mandarin or Cantonese	Second	Social Sciences (incl. CogSci)	Female	the second one (triangular)		HAZEL	
58ffef548c1cc23bab096a29		experiment	expert	e0	axis	longmire	5	10	5	10	2	208124	546168	152859	579118	124029	506847	2302199	38.37	12.57	12.20	10.51	0.37	8XZ5Z	15	15	754292	731977	0	22315	32	22	Taiwan	Mandarin or Cantonese	Fourth	Social Sciences (incl. CogSci)	Female	the second one (triangular)		KAI	
58e45f84d46cc6fa347eac15		experiment	alfa	2	axis	longmire	4	7	3	6	1	323944	467263	169672	693145	26595	874527	2921084	48.68	13.19	14.38	15.02	-1.19	1TOKK	11	9	791207	862817	-2	-71610	21	19	India	English	First	Social Sciences (incl. CogSci)	Male	the first one (linear			
58e45f84d46cc6fa347eac16		reverse	alfa	0	axis	longmire	4	5	2	3	1	170610	458183	167828	816211	193835	606465	2717972	45.3	10.48	16.4	13.34	-5.92	TMBDE	9	5	628793	984039	-4	-355246	15	21	USA	English	Fourth	Natural Sciences	Female	the second one (triangular)			
58e45f84d46cc6fa347eac17		experiment	alfa	0	longmire	axis	4	8	1	0	2	151691	394924	312031	401353	153277	820621	2452276	40.87	9.11	11.89	16.23	-2.78	FTSL1	12	1	546615	713384	-11	-166769	15	18	USA	English	First	Social Sciences (incl. CogSci)	Female	the first one (linear			
58e45f84d46cc6fa347eac18		reverse	alfa	3	axis	longmire	4	5	4	8	2	143134	315774	267617	721501	622975	147532	2748243	45.8	7.65	16.49	12.84	-8.84	UVPNA	9	12	458908	989118	3	-530210	23	20	Mexico 	Spanish	Third	Natural Sciences	Female	the second one (triangular)			
