_id,block,answer__001,answer__002,answer__003,answer__004,answer__005,answer__006,answer__007,answer__008,answer__009,answer__010,answer__011,answer__012,correct,scaffold,question,scenario,graph,condition,session,experiment,subject,time_elapsed,trial_index,rt
"ObjectId(""590a18edbe56e669301b3e33"")",linear_scaffolded,C,D,L,,,,,,,,,,1,none,start,longmire,linear,0,expert,experiment,PPACF,259341,5,43060
"ObjectId(""590a18edbe56e669301b3e34"")",linear_scaffolded,H,J,K,L,O,,,,,,,,0,none,end,longmire,linear,0,expert,experiment,PPACF,393841,6,133235
"ObjectId(""590a18edbe56e669301b3e35"")",linear_scaffolded,G,O,,,,,,,,,,,1,none,duration,longmire,linear,0,expert,experiment,PPACF,431263,7,36068
"ObjectId(""590a18edbe56e669301b3e36"")",linear_scaffolded,1,,,,,,,,,,,,1,none,midpoint,longmire,linear,0,expert,experiment,PPACF,457486,8,24954
"ObjectId(""590a18edbe56e669301b3e37"")",linear_scaffolded,A,,,,,,,,,,,,1,none,start+overlap,longmire,linear,0,expert,experiment,PPACF,496311,9,37551
"ObjectId(""590a18edbe56e669301b3e38"")",linear_testing,6,8,,,,,,,,,,,1,none,starts,longmire,linear,0,expert,experiment,PPACF,558902,10,61322
"ObjectId(""590a18edbe56e669301b3e39"")",linear_testing,E,K,L,,,,,,,,,,0,none,during+overlap,longmire,linear,0,expert,experiment,PPACF,672639,11,112374
"ObjectId(""590a18edbe56e669301b3e3a"")",linear_testing,A,B,C,D,F,I,,,,,,,1,none,before+overlap,longmire,linear,0,expert,experiment,PPACF,766828,12,92826
"ObjectId(""590a18edbe56e669301b3e3b"")",linear_testing,O,,,,,,,,,,,,1,none,meets,longmire,linear,0,expert,experiment,PPACF,802080,13,33908
"ObjectId(""590a18edbe56e669301b3e3c"")",linear_testing,A,M,N,,,,,,,,,,1,none,overlap+overlap,longmire,linear,0,expert,experiment,PPACF,874067,14,70731
"ObjectId(""590a18edbe56e669301b3e3d"")",linear_testing,A,B,D,F,,,,,,,,,1,none,start+duration,longmire,linear,0,expert,experiment,PPACF,964721,15,89288
"ObjectId(""590a18edbe56e669301b3e3e"")",linear_testing,C,,,,,,,,,,,,1,none,starts+finishes,longmire,linear,0,expert,experiment,PPACF,982597,16,16222
"ObjectId(""590a18edbe56e669301b3e3f"")",linear_testing,G,O,,,,,,,,,,,1,none,contain+duration,longmire,linear,0,expert,experiment,PPACF,1018540,17,34684
"ObjectId(""590a18edbe56e669301b3e40"")",linear_testing,4,5,,,,,,,,,,,1,none,finishes,longmire,linear,0,expert,experiment,PPACF,1087610,18,67788
"ObjectId(""590a18edbe56e669301b3e41"")",linear_testing,B,D,F,G,,,,,,,,,0,none,during,longmire,linear,0,expert,experiment,PPACF,1250722,19,161774
"ObjectId(""590a18edbe56e669301b3e42"")",triangular_scaffolded,C,H,,,,,,,,,,,0,none,start,axis,triangular,0,expert,experiment,PPACF,1329491,21,41757
"ObjectId(""590a18edbe56e669301b3e43"")",triangular_scaffolded,4,,,,,,,,,,,,1,none,end,axis,triangular,0,expert,experiment,PPACF,1343413,22,12553
"ObjectId(""590a18edbe56e669301b3e44"")",triangular_scaffolded,A,C,E,F,G,K,L,,,,,,0,none,duration,axis,triangular,0,expert,experiment,PPACF,1424600,23,79911
"ObjectId(""590a18edbe56e669301b3e45"")",triangular_scaffolded,8,,,,,,,,,,,,1,none,midpoint,axis,triangular,0,expert,experiment,PPACF,1520497,24,94518
"ObjectId(""590a18edbe56e669301b3e46"")",triangular_scaffolded,12,,,,,,,,,,,,0,none,start+overlap,axis,triangular,0,expert,experiment,PPACF,1564355,25,42514
"ObjectId(""590a18edbe56e669301b3e47"")",triangular_testing,A,,,,,,,,,,,,1,none,during+overlap,axis,triangular,0,expert,experiment,PPACF,1630803,26,65053
"ObjectId(""590a18edbe56e669301b3e48"")",triangular_testing,B,J,,,,,,,,,,,0,none,overlap+overlap,axis,triangular,0,expert,experiment,PPACF,1659631,27,27470
"ObjectId(""590a18edbe56e669301b3e49"")",triangular_testing,6,,,,,,,,,,,,1,none,starts,axis,triangular,0,expert,experiment,PPACF,1687411,28,26508
"ObjectId(""590a18edbe56e669301b3e4a"")",triangular_testing,9,,,,,,,,,,,,1,none,start+duration,axis,triangular,0,expert,experiment,PPACF,1717124,29,28436
