_id,block,answer,correct,scaffold,question,scenario,graph,condition,session,experiment,subject,time_elapsed,trial_index,rt,rt_sec,q_order
"ObjectId(""58e45befd46cc6fa347e4bfc"")",linear_scaffolded,HO,1,none,start,axis,linear,0,november,experiment,5HJKF,291750,5,14996,15,1
"ObjectId(""58e45befd46cc6fa347e4bfd"")",linear_scaffolded,4,1,none,end,axis,linear,0,november,experiment,5HJKF,303092,6,10087,10,2
"ObjectId(""58e45befd46cc6fa347e4bfe"")",linear_scaffolded,ACEFHIKL,0,none,duration,axis,linear,0,november,experiment,5HJKF,346136,7,41790,42,3
"ObjectId(""58e45befd46cc6fa347e4bff"")",linear_scaffolded,8,1,none,midpoint,axis,linear,0,november,experiment,5HJKF,364081,8,16685,17,4
"ObjectId(""58e45befd46cc6fa347e4c00"")",linear_scaffolded,10,0,none,start+overlap,axis,linear,0,november,experiment,5HJKF,378644,9,13293,13,5
"ObjectId(""58e45befd46cc6fa347e4c01"")",linear_testing,CF,0,none,overlap+overlap,axis,linear,0,november,experiment,5HJKF,388569,10,8669,9,6
"ObjectId(""58e45befd46cc6fa347e4c02"")",linear_testing,9,1,none,start+duration,axis,linear,0,november,experiment,5HJKF,424432,11,34601,35,7
"ObjectId(""58e45befd46cc6fa347e4c03"")",linear_testing,GO,1,none,finishes,axis,linear,0,november,experiment,5HJKF,439736,12,14053,14,8
"ObjectId(""58e45befd46cc6fa347e4c04"")",linear_testing,GHLO,0,none,before+overlap,axis,linear,0,november,experiment,5HJKF,466721,13,25723,26,9
"ObjectId(""58e45befd46cc6fa347e4c05"")",linear_testing,DNO,0,none,contain+duration,axis,linear,0,november,experiment,5HJKF,497249,14,29270,29,10
"ObjectId(""58e45befd46cc6fa347e4c06"")",linear_testing,FMO,1,none,during,axis,linear,0,november,experiment,5HJKF,522369,15,23863,24,11
"ObjectId(""58e45befd46cc6fa347e4c07"")",linear_testing,DJMNO,0,none,meets,axis,linear,0,november,experiment,5HJKF,581699,16,58067,58,12
"ObjectId(""58e45befd46cc6fa347e4c08"")",linear_testing,6,1,none,starts,axis,linear,0,november,experiment,5HJKF,612544,17,29587,30,13
"ObjectId(""58e45befd46cc6fa347e4c09"")",linear_testing,G,1,none,starts+finishes,axis,linear,0,november,experiment,5HJKF,626953,18,12976,13,14
"ObjectId(""58e45befd46cc6fa347e4c0a"")",linear_testing,G,0,none,during+overlap,axis,linear,0,november,experiment,5HJKF,653770,19,25561,26,15
"ObjectId(""58e45befd46cc6fa347e4c0b"")",triangular_scaffolded,,0,none,start,longmire,triangular,0,november,experiment,5HJKF,685359,21,20958,21,1
"ObjectId(""58e45befd46cc6fa347e4c0c"")",triangular_scaffolded,MN,0,none,end,longmire,triangular,0,november,experiment,5HJKF,695888,22,9276,9,2
"ObjectId(""58e45befd46cc6fa347e4c0d"")",triangular_scaffolded,GO,1,none,duration,longmire,triangular,0,november,experiment,5HJKF,709257,23,12108,12,3
"ObjectId(""58e45befd46cc6fa347e4c0e"")",triangular_scaffolded,1,1,none,midpoint,longmire,triangular,0,november,experiment,5HJKF,737954,24,27427,27,4
"ObjectId(""58e45befd46cc6fa347e4c0f"")",triangular_scaffolded,GL,0,none,start+overlap,longmire,triangular,0,november,experiment,5HJKF,745137,25,5921,6,5
"ObjectId(""58e45befd46cc6fa347e4c10"")",triangular_testing,ABDF,1,none,start+duration,longmire,triangular,0,november,experiment,5HJKF,769437,26,23031,23,6
"ObjectId(""58e45befd46cc6fa347e4c11"")",triangular_testing,I,0,none,during,longmire,triangular,0,november,experiment,5HJKF,789756,27,19067,19,7
"ObjectId(""58e45befd46cc6fa347e4c12"")",triangular_testing,,0,none,starts+finishes,longmire,triangular,0,november,experiment,5HJKF,819689,28,28681,29,8
"ObjectId(""58e45befd46cc6fa347e4c13"")",triangular_testing,G,0,none,overlap+overlap,longmire,triangular,0,november,experiment,5HJKF,825837,29,4895,5,9
"ObjectId(""58e45befd46cc6fa347e4c14"")",triangular_testing,4,0,none,starts,longmire,triangular,0,november,experiment,5HJKF,828617,30,1516,2,10
"ObjectId(""58e45befd46cc6fa347e4c15"")",triangular_testing,D,0,none,before+overlap,longmire,triangular,0,november,experiment,5HJKF,832035,31,2158,2,11
