"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45f84d46cc6fa347eac15"")","experiment","alfa","2","axis","longmire","4","7","3","6","1","323944","467263","169672","693145","26595","874527","2921084","1TOKK","11","9","791207","862817","-2","-71610","21","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""India""}"
"ObjectId(""58e45f84d46cc6fa347eac16"")","reverse","alfa","4 4 4","axis","longmire","4","5","2","3","1","170610","458183","167828","816211","193835","606465","2717972","TMBDE","9","5","628793","984039","-4","-355246","15","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""USA""}"
"ObjectId(""58e45f84d46cc6fa347eac17"")","experiment","alfa","0","longmire","axis","4","8","1","0","2","151691","394924","312031","401353","153277","820621","2452276","FTSL1","12","1","546615","713384","-11","-166769","15","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""US""}"
"ObjectId(""58e45f84d46cc6fa347eac18"")","reverse","alfa","3","axis","longmire","4","5","4","8","2","143134","315774","267617","721501","622975","147532","2748243","UVPNA","9","12","458908","989118","3","-530210","23","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""Mexico ""}"
"ObjectId(""58e45f84d46cc6fa347eac19"")","experiment","alfa","0","axis","longmire","5","4","3","4","0","189577","396414","205147","637973","165923","566650","2530148","YHU8T","9","7","585991","843120","-2","-257129","16","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""23"",""Q1"":""South Korea""}"
"ObjectId(""58e45f84d46cc6fa347eac1a"")","experiment","alfa","0","longmire","axis","5","6","3","8","2","158318","497265","485284","337582","265082","457078","2454470","67JMM","11","11","655583","822866","0","-167283","24","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""The United States""}"
"ObjectId(""58e45f84d46cc6fa347eac1b"")","experiment","alfa","3","axis","longmire","5","9","4","9","1","175697","282442","116223","319138","140347","678491","2011141","WFQJK","14","13","458139","435361","-1","22778","28","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""hong kong""}"
"ObjectId(""58e45f84d46cc6fa347eac1c"")","reverse","alfa","3","longmire","axis","4","6","3","6","1","100247","479098","341516","417999","54019","631007","2310484","CK7VW","10","9","579345","759515","-1","-180170","20","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""USA""}"
"ObjectId(""58e45f84d46cc6fa347eac1d"")","reverse","blue","red","longmire","axis","3","6","0","0","0","197036","444313","387568","662236","83048","1089972","3005025","S9XA4","9","0","641349","1049804","-9","-408455","9","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45f84d46cc6fa347eac1e"")","reverse","alfa","0 0","longmire","axis","4","4","1","0","1","94000","393301","298793","379629","472570","313279","2233627","RKCHG","8","1","487301","678422","-7","-191121","10","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""USA""}"
"ObjectId(""58e45f84d46cc6fa347eac1f"")","experiment","alfa","4","longmire","axis","3","9","3","8","2","170590","510276","196864","406733","164512","560213","2276790","NY5AN","12","11","680866","603597","-1","77269","25","{""Q0"":""Other"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""Japan""}"
"ObjectId(""58e45f84d46cc6fa347eac20"")","reverse","alfa","3","axis","longmire","5","8","4","8","2","122156","250259","147557","384736","99037","535211","1817125","565WH","13","12","372415","532293","-1","-159878","27","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""US""}"
"ObjectId(""58e45f84d46cc6fa347eac21"")","experiment","alfa","+","longmire","axis","4","6","1","0","2","79735","237591","68301","171237","701025","53103","1508756","Y6F1V","10","1","317326","239538","-9","77788","13","{""Q0"":""English"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""24"",""Q1"":""USA""}"
"ObjectId(""58e45f84d46cc6fa347eac22"")","reverse","blue","red","axis","longmire","3","5","3","2","0","90724","223627","73739","291109","100545","349132","1352540","1TL49","8","5","314351","364848","-3","-50497","13","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45f84d46cc6fa347eac23"")","experiment","alfa","3","axis","longmire","5","8","4","10","2","150219","300856","160929","422574","288012","741116","2815590","K4PCN","13","14","451075","583503","1","-132428","29","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Third"",""Q2"":""Math or Computer Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""China""}"
"ObjectId(""58e45f84d46cc6fa347eac24"")","reverse","alfa","4 4","axis","longmire","4","6","5","9","1","77523","263854","95830","245327","419969","379690","1811499","S7D7C","10","14","341377","341157","4","220","25","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""usa""}"
