"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45f47d46cc6fa347ea5d2"")","experiment","bravo","3","longmire","axis","4","5","2","6","1","133750","894922","242399","458259","135794","883766","3059086","0UUFC","9","8","1028672","700658","-1","328014","18","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""united states""}"
"ObjectId(""58e45f47d46cc6fa347ea5d3"")","reverse","bravo","4","longmire","axis","4","8","2","7","0","197706","596759","202481","476227","334796","396918","2644837","3FDVP","12","9","794465","678708","-3","115757","21","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Humanities"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""Mexico""}"
"ObjectId(""58e45f47d46cc6fa347ea5d4"")","experiment","bravo","2","axis","longmire","5","8","5","9","2","232809","383135","268736","479839","203246","608330","2515649","ZNUEO","13","14","615944","748575","1","-132631","29","{""Q0"":""English"",""Q1"":""Fifth"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45f47d46cc6fa347ea5d5"")","experiment","bravo","2","axis","longmire","3","7","2","5","2","244860","321167","253429","370941","113733","726536","2492380","5ZV2X","10","7","566027","624370","-3","-58343","19","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""usa""}"
"ObjectId(""58e45f47d46cc6fa347ea5d6"")","experiment","bravo","3","axis","longmire","2","2","3","2","2","136471","117408","125942","224296","86567","326123","1528455","1129F","4","5","253879","350238","1","-96359","11","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""China""}"
"ObjectId(""58e45f47d46cc6fa347ea5d7"")","reverse","bravo","4","axis","longmire","5","7","5","9","2","180266","378557","159493","621545","123174","487564","2456733","8BN4N","12","14","558823","781038","2","-222215","28","{""Q0"":""Other"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""Bulgaria""}"
"ObjectId(""58e45f47d46cc6fa347ea5d8"")","experiment","bravo","4","longmire","axis","4","6","3","9","2","133769","442125","229269","311451","143956","381497","2116908","OA5JN","10","12","575894","540720","2","35174","24","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""USA""}"
"ObjectId(""58e45f47d46cc6fa347ea5d9"")","reverse","bravo","2","axis","longmire","4","9","5","10","2","126575","328198","153803","358266","77358","837294","2223070","JYJXS","13","15","454773","512069","2","-57296","30","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""usa""}"
"ObjectId(""58e45f47d46cc6fa347ea5da"")","reverse","bravo","3","axis","longmire","4","7","2","7","1","167692","405082","114181","509789","268064","771629","2609087","76WFU","11","9","572774","623970","-2","-51196","21","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""24"",""Q1"":""USA""}"
"ObjectId(""58e45f47d46cc6fa347ea5db"")","reverse","bravo","2","longmire","axis","5","8","3","7","1","135563","268022","342299","401234","144809","532121","2508585","N5CZB","13","10","403585","743533","-3","-339948","24","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""China""}"
