"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45eadd46cc6fa347e9e58"")","reverse","CHARLIE","4","longmire","axis","5","9","4","9","0","186251","452084","193048","453701","131274","565786","2248985","X6T2E","14","13","638335","646749","-1","-8414","27","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""United States""}"
"ObjectId(""58e45eadd46cc6fa347e9e59"")","experiment","charlie","3","longmire","axis","4","9","0","5","1","145373","416336","305176","269125","182103","577811","2432776","1ENZF","13","5","561709","574301","-8","-12592","19","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States of America""}"
"ObjectId(""58e45eadd46cc6fa347e9e5a"")","reverse","CHARLIE","0","longmire","axis","5","8","1","7","1","113678","399418","313667","431244","505476","42392","2329340","UKKNJ","13","8","513096","744911","-5","-231815","22","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States of America""}"
"ObjectId(""58e45eadd46cc6fa347e9e5b"")","reverse","CHARLIE","4","axis","longmire","5","9","5","9","1","122113","298163","177209","524138","195943","587052","2286920","9Y23Q","14","14","420276","701347","0","-281071","29","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""New Zealand""}"
"ObjectId(""58e45eadd46cc6fa347e9e5c"")","reverse","CHARLIE","4","axis","longmire","3","5","3","2","2","131108","441533","151933","483001","340043","312420","2326358","TV3HJ","8","5","572641","634934","-3","-62293","15","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""24"",""Q1"":""United States""}"
"ObjectId(""58e45eadd46cc6fa347e9e5d"")","experiment","charlie","4","longmire","axis","4","9","4","5","0","130433","458970","188322","257018","167620","670732","2254936","V4A35","13","9","589403","445340","-4","144063","22","{""Q0"":""Other"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""france""}"
"ObjectId(""58e45eadd46cc6fa347e9e5e"")","experiment","charlie","4","axis","longmire","3","5","4","9","2","137987","286207","192372","362036","190118","76132","2223818","PXA6H","8","13","424194","554408","5","-130214","23","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""Canada""}"
"ObjectId(""58e45eadd46cc6fa347e9e5f"")","reverse","CHARLIE","2","axis","longmire","5","6","3","9","2","145342","312988","335384","348567","77259","817617","2593594","WUQMM","11","12","458330","683951","1","-225621","25","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""Sri Lanka""}"
"ObjectId(""58e45eadd46cc6fa347e9e60"")","reverse","CHARLIE","3","longmire","axis","5","5","0","1","1","119206","307767","307842","462330","126074","423877","2307572","OZWVZ","10","1","426973","770172","-9","-343199","12","{""Q0"":""Other"",""Q1"":""Fourth"",""Q2"":""Fine Arts"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""30"",""Q1"":""Korea""}"
"ObjectId(""58e45eadd46cc6fa347e9e61"")","reverse","CHARLIE","2","axis","longmire","3","6","2","1","1","229865","298062","168153","754817","87280","527171","2806047","DZ413","9","3","527927","922970","-6","-395043","13","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA\n""}"
