"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45e88d46cc6fa347e9790"")","experiment","delta","2","axis","longmire","4","7","3","4","0","208871","537416","267185","430510","655200","228909","3139682","1Y39Q","11","7","746287","697695","-4","48592","18","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""29"",""Q1"":""China""}"
"ObjectId(""58e45e88d46cc6fa347e9791"")","reverse","delta","0","longmire","axis","4","8","2","7","1","129068","319840","240325","373193","242485","920960","2473946","OQWZ1","12","9","448908","613518","-3","-164610","22","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Third"",""Q2"":""Math or Computer Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""China""}"
"ObjectId(""58e45e88d46cc6fa347e9792"")","reverse","delta","2","longmire","axis","4","5","1","0","0","147944","609497","196689","516331","567030","68424","3314636","X3K4N","9","1","757441","713020","-8","44421","10","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Humanities"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45e88d46cc6fa347e9793"")","reverse","delta","3","longmire","axis","4","8","1","0","1","139603","398438","230466","471089","156602","608369","2749690","BAC71","12","1","538041","701555","-11","-163514","14","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""USA""}"
"ObjectId(""58e45e88d46cc6fa347e9794"")","reverse","delta","3","axis","longmire","4","7","2","0","2","165661","237170","120771","445369","113303","857402","2808931","192S2","11","2","402831","566140","-9","-163309","15","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States of America""}"
"ObjectId(""58e45e88d46cc6fa347e9795"")","experiment","delta","4","axis","longmire","4","7","3","5","1","181935","357071","182958","547898","198035","547716","2331455","0ZEZO","11","8","539006","730856","-3","-191850","20","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""Mexico""}"
"ObjectId(""58e45e88d46cc6fa347e9796"")","experiment","delta","3","longmire","axis","4","9","4","9","2","93738","335385","149287","318924","80029","771143","2082716","JE4L8","13","13","429123","468211","0","-39088","28","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""Australia""}"
"ObjectId(""58e45e88d46cc6fa347e9797"")","experiment","delta","3","axis","longmire","5","10","4","10","2","180947","393374","111402","325970","94795","512361","2714978","DRWFW","15","14","574321","437372","-1","136949","31","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Engineering"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""Brazil""}"
"ObjectId(""58e45e88d46cc6fa347e9798"")","reverse","delta","2","longmire","axis","5","7","1","8","1","197664","459081","453364","379191","465736","532799","3221835","93LO6","12","9","656745","832555","-3","-175810","22","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Humanities"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""United States""}"
"ObjectId(""58e45e88d46cc6fa347e9799"")","experiment","delta","4","longmire","axis","5","9","4","9","2","110593","312788","128905","263297","191924","601550","2217266","E6RYY","14","13","423381","392202","-1","31179","29","{""Q0"":""Other"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45e88d46cc6fa347e979a"")","reverse","delta","2","axis","longmire","4","8","2","1","1","128381","261839","219049","595603","94214","984765","3016830","WA9MH","12","3","390220","814652","-9","-424432","16","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""united states""}"
"ObjectId(""58e45e88d46cc6fa347e979b"")","reverse","delta","0","longmire","axis","4","5","1","0","2","93441","462925","325352","454494","113131","755693","3066958","JO52X","9","1","556366","779846","-8","-223480","12","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""Canada""}"
"ObjectId(""58e45e88d46cc6fa347e979c"")","experiment","delta","3","axis","longmire","4","4","1","1","0","309409","536683","129044","535535","57978","460773","2506073","GJP2D","8","2","846092","664579","-6","181513","10","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States\n""}"
"ObjectId(""58e45e88d46cc6fa347e979d"")","reverse","delta","2","axis","longmire","4","2","1","2","0","194559","238516","188112","432841","76154","466621","2732614","MW095","6","3","433075","620953","-3","-187878","9","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45e88d46cc6fa347e979e"")","experiment","delta","4","longmire","axis","5","8","5","9","0","130632","377094","213892","278045","285934","756662","2883127","K7BFC","13","14","507726","491937","1","15789","27","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Math or Computer Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""CHINA""}"
"ObjectId(""58e45e88d46cc6fa347e979f"")","experiment","delta","2","axis","longmire","3","10","5","8","2","110387","239294","130042","276652","75304","626039","2146217","6Z2EO","13","13","349681","406694","0","-57013","28","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45e88d46cc6fa347e97a0"")","reverse","delta","3","axis","longmire","5","7","4","9","1","115724","251237","132758","352473","88712","615416","2371378","JL0XP","12","13","366961","485231","1","-118270","26","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""China""}"
"ObjectId(""58e45e88d46cc6fa347e97a1"")","reverse","delta","4","axis","longmire","4","3","5","9","2","107567","138346","109985","281212","80474","387151","1549986","AU45F","7","14","245913","391197","7","-145284","23","{""Q0"":""Other"",""Q1"":""First"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""India""}"
"ObjectId(""58e45e88d46cc6fa347e97a2"")","reverse","delta","4","longmire","axis","5","6","1","6","0","106643","374849","93434","221352","361333","114852","1716629","Z0AQS","11","7","481492","314786","-4","166706","18","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""USA""}"
"ObjectId(""58e45e88d46cc6fa347e97a3"")","reverse","delta","4","axis","longmire","5","5","5","7","2","105714","233218","147599","291037","112618","526877","2505872","6C94C","10","12","338932","438636","2","-99704","24","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""usa""}"
"ObjectId(""58e45e88d46cc6fa347e97a4"")","reverse","delta","3","axis","longmire","5","9","4","6","2","165409","300362","200037","636709","472260","960435","3259571","JCSDC","14","10","465771","836746","-4","-370975","26","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Engineering"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States of America""}"
"ObjectId(""58e45e88d46cc6fa347e97a5"")","reverse","delta","2","longmire","axis","5","7","2","7","1","167727","453144","296409","349969","126848","1165675","3860306","9MGOB","12","9","620871","646378","-3","-25507","22","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""usa""}"
"ObjectId(""58e45e88d46cc6fa347e97a6"")","experiment","delta","0","longmire","axis","4","6","1","0","1","150376","432118","267235","370044","142746","553329","2457217","ZP8OY","10","1","582494","637279","-9","-54785","12","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""Iraq""}"
