"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45e33d46cc6fa347e9060"")","reverse","echo","3","longmire","axis","4","5","3","5","1","108664","428249","221475","424155","899807","106994","2385396","TA2L5","9","8","536913","645630","-1","-108717","18","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""US""}"
"ObjectId(""58e45e33d46cc6fa347e9061"")","reverse","echo","3","longmire","axis","4","6","1","1","0","108371","428223","166751","506336","104932","872878","2377342","UOBPQ","10","2","536594","673087","-8","-136493","12","{""Q0"":""Spanish"",""Q1"":""Fifth"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""24"",""Q1"":""mEXICO""}"
"ObjectId(""58e45e33d46cc6fa347e9062"")","reverse","echo","0","longmire","axis","4","8","1","5","2","132110","407387","258584","518476","147056","622498","2239647","POQNH","12","6","539497","777060","-6","-237563","20","{""Q0"":""Other"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45e33d46cc6fa347e9063"")","reverse","echo","2","axis","longmire","4","3","2","2","1","163910","356553","337470","603253","597115","118215","2363125","W12ZU","7","4","520463","940723","-3","-420260","12","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""united states""}"
"ObjectId(""58e45e33d46cc6fa347e9064"")","reverse","echo","2","longmire","axis","5","6","1","0","1","139084","446429","176348","379811","364934","642988","2340290","FTX1J","11","1","585513","556159","-10","29354","13","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""Hong Kong""}"
"ObjectId(""58e45e33d46cc6fa347e9065"")","reverse","echo","3","axis","longmire","4","9","5","8","2","161088","321633","140279","411771","156240","765612","2223797","UUTZ9","13","13","482721","552050","0","-69329","28","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Engineering"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""USA""}"
"ObjectId(""58e45e33d46cc6fa347e9066"")","reverse","echo","4","longmire","axis","4","5","1","0","1","137955","358705","405651","598965","165208","626354","2502554","AYPYF","9","1","496660","1004616","-8","-507956","11","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Math or Computer Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States of America""}"
"ObjectId(""58e45e33d46cc6fa347e9067"")","reverse","echo","2","axis","longmire","4","8","1","5","2","107661","287586","215480","671074","104298","610540","2203064","UNUPL","12","6","395247","886554","-6","-491307","20","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""Taiwan""}"
"ObjectId(""58e45e33d46cc6fa347e9068"")","reverse","echo","0","longmire","axis","5","7","4","8","2","114668","415326","216733","328340","636496","152369","2113749","RGOP0","12","12","529994","545073","0","-15079","26","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Engineering"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45e33d46cc6fa347e9069"")","reverse","echo","3","longmire","axis","4","7","4","6","2","106617","308157","131163","392302","130290","884390","2127691","78CYG","11","10","414774","523465","-1","-108691","23","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States of America""}"
