"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45df9d46cc6fa347e88f1"")","reverse","foxtrot","2","axis","longmire","5","4","5","8","1","199882","577400","188808","542450","285286","949852","2956385","QP34G","9","13","777282","731258","4","46024","23","{""Q0"":""Other"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""INDONESIA""}"
"ObjectId(""58e45df9d46cc6fa347e88f2"")","experiment","foxtrot","2","longmire","axis","3","7","0","9","2","222758","621305","373252","360655","180922","751329","2998922","NRVM6","10","9","844063","733907","-1","110156","21","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""China""}"
"ObjectId(""58e45df9d46cc6fa347e88f3"")","experiment","foxtrot","3","axis","longmire","5","7","5","10","2","214140","481049","173075","388562","299313","1084394","2865357","9CB27","12","15","695189","561637","3","133552","29","{""Q0"":""Spanish"",""Q1"":""First"",""Q2"":""Math or Computer Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""Mexico""}"
"ObjectId(""58e45df9d46cc6fa347e88f4"")","experiment","foxtrot","3","longmire","axis","2","8","1","9","0","149470","816164","274123","453766","1186143","224606","3753889","O4HU0","10","10","965634","727889","0","237745","20","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Math or Computer Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""28"",""Q1"":""Belarus""}"
"ObjectId(""58e45df9d46cc6fa347e88f5"")","experiment","foxtrot","2","longmire","axis","5","8","4","10","2","157034","625152","175590","354951","166457","860270","2722568","LXM5D","13","14","782186","530541","1","251645","29","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""China""}"
"ObjectId(""58e45df9d46cc6fa347e88f6"")","reverse","foxtrot","2","longmire","axis","4","6","5","8","0","87437","419564","302754","340350","196397","966667","2648298","CZLGR","10","13","507001","643104","3","-136103","23","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e88f7"")","experiment","foxtrot","2","axis","longmire","2","7","4","6","2","160366","464145","170828","465702","143233","632121","2346793","P3Y2J","9","10","624511","636530","1","-12019","21","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e88f8"")","experiment","foxtrot","0","longmire","axis","2","5","4","8","0","138908","432540","212666","333309","103747","1235003","2834703","FSTGR","7","12","571448","545975","5","25473","19","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""United States Of America""}"
"ObjectId(""58e45df9d46cc6fa347e88f9"")","reverse","foxtrot","3","axis","longmire","4","7","2","5","2","161793","475703","158667","520995","223830","684386","2469146","UPEEJ","11","7","637496","679662","-4","-42166","20","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""25"",""Q1"":""USA""}"
"ObjectId(""58e45df9d46cc6fa347e88fa"")","experiment","foxtrot","0","longmire","axis","4","5","1","1","0","185010","454757","329355","371944","58596","1058021","2787107","90L9R","9","2","639767","701299","-7","-61532","11","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""United States""}"
