"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45dcad46cc6fa347e80b1"")","experiment","golf","4","axis","longmire","3","8","5","5","2","280332","481351","177930","654560","170669","902562","3005988","BO123","11","10","761683","832490","-1","-70807","23","{""Q0"":""English"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""United States of America""}"
"ObjectId(""58e45dcad46cc6fa347e80b2"")","experiment","golf","0","axis","longmire","5","9","2","3","2","131233","407723","118142","628721","169371","721922","2556579","W4U0A","14","5","538956","746863","-9","-207907","21","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45dcad46cc6fa347e80b3"")","experiment","golf","4","longmire","axis","4","6","4","6","2","83534","307290","179151","370738","230866","1013578","2432847","HO7VP","10","10","390824","549889","0","-159065","22","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""Vietnam""}"
"ObjectId(""58e45dcad46cc6fa347e80b4"")","experiment","golf","4","axis","longmire","3","6","3","7","0","196022","398254","168260","430291","856031","79548","2438308","19ZLL","9","10","594276","598551","1","-4275","19","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""USA""}"
"ObjectId(""58e45dcad46cc6fa347e80b5"")","experiment","golf","0","axis","longmire","5","10","5","8","2","247783","655133","194642","574257","179505","848788","3098461","VRYKA","15","13","902916","768899","-2","134017","30","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""U.S. (Puerto Rico)""}"
"ObjectId(""58e45dcad46cc6fa347e80b6"")","experiment","golf","0","longmire","axis","4","9","0","0","2","154807","511957","379583","389911","117422","580240","2348153","D2CRL","13","0","666764","769494","-13","-102730","15","{""Q0"":""English"",""Q1"":""Fifth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""US""}"
"ObjectId(""58e45dcad46cc6fa347e80b7"")","reverse","golf","0","axis","longmire","5","6","4","5","0","107080","190754","77010","310271","82809","730289","1690850","8LQCF","11","9","297834","387281","-2","-89447","20","{""Q0"":""English"",""Q1"":""Fifth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""25"",""Q1"":""United States""}"
"ObjectId(""58e45dcad46cc6fa347e80b8"")","experiment","golf","4","longmire","axis","5","8","3","9","1","170732","518899","160620","386906","135489","662799","2317952","5OBUK","13","12","689631","547526","-1","142105","26","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""23"",""Q1"":""USA""}"
"ObjectId(""58e45dcad46cc6fa347e80b9"")","experiment","golf","4","axis","longmire","4","5","4","7","1","210374","413512","175864","415363","584690","166859","2222255","R0DD9","9","11","623886","591227","2","32659","21","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""USA""}"
"ObjectId(""58e45dcad46cc6fa347e80ba"")","experiment","golf","0","axis","longmire","4","10","2","3","2","188012","339873","245735","687463","182850","568261","2522253","7HF5H","14","5","527885","933198","-9","-405313","21","{""Q0"":""Other"",""Q1"":""Second"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""Iran""}"
