"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45d80d46cc6fa347e7aa8"")","reverse","hotel","4","axis","longmire","3","7","4","9","1","162334","415394","223771","526657","210668","1638056","3429892","Z10XW","10","13","577728","750428","3","-172700","24","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Humanities"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""United States""}"
"ObjectId(""58e45d80d46cc6fa347e7aa9"")","reverse","hotel","4","axis","longmire","5","6","5","8","1","209990","432120","242096","760497","190201","869610","3012797","VJ2BM","11","13","642110","1002593","2","-360483","25","{""Q0"":""Spanish"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""United States of America""}"
"ObjectId(""58e45d80d46cc6fa347e7aaa"")","reverse","hotel","4","longmire","axis","5","9","4","8","2","226997","529243","240893","409844","277577","951739","2949448","LTQOU","14","12","756240","650737","-2","105503","28","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45d80d46cc6fa347e7aab"")","experiment","hotel","2","longmire","axis","4","4","4","7","0","96524","441043","214487","317123","241928","511135","2103872","JC60L","8","11","537567","531610","3","5957","19","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45d80d46cc6fa347e7aac"")","reverse","hotel","4","longmire","axis","4","6","2","4","2","135580","352171","239132","696309","268829","569713","2536861","R9VP8","10","6","487751","935441","-4","-447690","18","{""Q0"":""Other"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""25"",""Q1"":""south korea""}"
"ObjectId(""58e45d80d46cc6fa347e7aad"")","reverse","hotel","4","axis","longmire","4","7","5","7","2","182318","313328","175418","436123","115392","413284","1956320","QBQGZ","11","12","495646","611541","1","-115895","25","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Other"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""23"",""Q1"":""Guangdong""}"
"ObjectId(""58e45d80d46cc6fa347e7aae"")","reverse","hotel","2","longmire","axis","4","6","1","0","0","141638","332482","177992","506330","1002009","135456","2548127","48ZDE","10","1","474120","684322","-9","-210202","11","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""23"",""Q1"":""China""}"
"ObjectId(""58e45d80d46cc6fa347e7aaf"")","reverse","hotel","4","longmire","axis","4","4","3","8","2","141349","540112","196205","446558","245271","577705","2455543","HDDC2","8","11","681461","642763","3","38698","21","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""India""}"
"ObjectId(""58e45d80d46cc6fa347e7ab0"")","reverse","hotel","4","axis","longmire","5","7","5","10","1","153949","330287","198269","651058","141876","670935","2438232","UM82L","12","15","484236","849327","3","-365091","28","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States of America""}"
"ObjectId(""58e45d80d46cc6fa347e7ab1"")","reverse","hotel","3","longmire","axis","4","6","2","5","1","169896","676089","322392","743165","194998","554733","3088487","5HR1X","10","7","845985","1065557","-3","-219572","18","{""Q0"":""Spanish"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
