"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45d3bd46cc6fa347e72a7"")","reverse","4","0","longmire","axis","4","6","1","3","0","134838","418529","303859","672016","514687","197603","2537333","T42AO","10","4","553367","975875","-6","-422508","14","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45d3bd46cc6fa347e72a8"")","experiment","india","4","axis","longmire","5","8","5","10","1","636112","747207","200547","405701","96924","541249","2899105","SUCUA","13","15","1383319","606248","2","777071","29","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""kENYA""}"
"ObjectId(""58e45d3bd46cc6fa347e72a9"")","experiment","india","2","axis","longmire","2","9","5","9","2","185596","310679","232005","478296","129512","869622","2433601","M8MYD","11","14","496275","710301","3","-214026","27","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45d3bd46cc6fa347e72aa"")","reverse","india","0","longmire","axis","5","7","5","8","1","100625","401383","165944","549435","123060","737641","2357531","7HDR0","12","13","502008","715379","1","-213371","26","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45d3bd46cc6fa347e72ab"")","experiment","india","0","axis","longmire","4","7","5","8","2","108756","346587","148850","270036","84954","481523","1696135","HZMPX","11","13","455343","418886","2","36457","26","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States of America""}"
"ObjectId(""58e45d3bd46cc6fa347e72ac"")","experiment","india","4","axis","longmire","3","7","4","9","2","172246","388797","211507","403631","300190","611852","2349180","SPP2M","10","13","561043","615138","3","-54095","25","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45d3bd46cc6fa347e72ad"")","reverse","india","4","longmire","axis","3","7","3","7","2","131686","350850","266448","415368","115957","725246","2250600","TW6BB","10","10","482536","681816","0","-199280","22","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Humanities"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45d3bd46cc6fa347e72ae"")","experiment","india","4","longmire","axis","5","7","2","8","0","137465","440943","215470","228250","235635","685612","2241066","1BZ30","12","10","578408","443720","-2","134688","22","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States of America""}"
"ObjectId(""58e45d3bd46cc6fa347e72af"")","experiment","india","0","axis","longmire","5","8","3","7","2","188218","438048","242908","612679","123198","442394","2300970","S3UR3","13","10","626266","855587","-3","-229321","25","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""United States""}"
"ObjectId(""58e45d3bd46cc6fa347e72b0"")","reverse","india","0","axis","longmire","5","5","2","2","2","172455","455471","202943","465598","138524","466000","2063665","1KNSY","10","4","627926","668541","-6","-40615","16","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""india""}"
