"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45ca4d46cc6fa347e6b36"")","experiment","juliet","1","longmire","axis","4","8","2","7","0","229869","696819","390231","411375","96728","1140003","3392647","GFNM7","12","9","926688","801606","-3","125082","21","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45ca4d46cc6fa347e6b37"")","reverse","juliet","1","longmire","axis","3","5","1","8","1","178536","660824","418439","566365","320900","720050","3320006","9W7JK","8","9","839360","984804","1","-145444","18","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45ca4d46cc6fa347e6b38"")","reverse","juliet","1","axis","longmire","4","9","5","9","2","168144","402121","226549","462132","135023","648899","2494900","DEV73","13","14","570265","688681","1","-118416","29","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""United States of America""}"
"ObjectId(""58e45ca4d46cc6fa347e6b39"")","experiment","juliet","1","axis","longmire","4","4","2","1","1","201956","283321","271308","383760","1314862","120548","3019869","O1MDT","8","3","485277","655068","-5","-169791","12","{""Q0"":""English"",""Q1"":""Other"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""25"",""Q1"":""United States of America""}"
"ObjectId(""58e45ca4d46cc6fa347e6b3a"")","experiment","juliet","1","longmire","axis","5","6","4","6","0","198928","554063","229781","361232","297090","638257","2755243","HO8HO","11","10","752991","591013","-1","161978","21","{""Q0"":""Spanish"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""usa\nUnited States of America\n""}"
"ObjectId(""58e45ca4d46cc6fa347e6b3b"")","experiment","juliet","1","longmire","axis","3","7","1","0","2","175584","408531","313149","475448","119353","670308","2672833","RQMEB","10","1","584115","788597","-9","-204482","13","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45ca4d46cc6fa347e6b3c"")","experiment","juliet","1","axis","longmire","4","9","5","8","2","162000","388031","309255","397459","149655","858012","2727296","YOK7W","13","13","550031","706714","0","-156683","28","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""CHINA""}"
"ObjectId(""58e45ca4d46cc6fa347e6b3d"")","experiment","juliet","4","longmire","axis","5","6","5","8","2","138618","444919","322659","378120","143183","490735","2196339","VOQB1","11","13","583537","700779","2","-117242","26","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""23"",""Q1"":""US""}"
"ObjectId(""58e45ca4d46cc6fa347e6b3e"")","reverse","juliet","1","longmire","axis","4","7","4","10","1","126626","484582","224977","363836","822870","108989","2585302","STLX2","11","14","611208","588813","3","22395","26","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45ca4d46cc6fa347e6b3f"")","reverse","juliet","1","longmire","axis","4","8","3","7","2","153865","406791","279249","379178","110296","756719","2521189","G377V","12","10","560656","658427","-2","-97771","24","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Math or Computer Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45ca4d46cc6fa347e6b40"")","experiment","juliet","1","axis","longmire","5","7","4","8","2","185368","420502","193378","381328","140760","676042","2417716","9RMN6","12","12","605870","574706","0","31164","26","{""Q0"":""Other"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45ca4d46cc6fa347e6b41"")","experiment","juliet","1","axis","longmire","5","7","3","9","2","169680","311360","186874","463327","142145","633295","2304395","3L53C","12","12","481040","650201","0","-169161","26","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45ca4d46cc6fa347e6b42"")","experiment","juliet","4","axis","longmire","5","5","5","10","2","198575","369617","198930","309095","121029","932186","2500420","2610Q","10","15","568192","508025","5","60167","27","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45ca4d46cc6fa347e6b43"")","reverse","juliet","1","longmire","axis","4","7","1","0","1","103059","296772","266306","432231","86869","361421","1925179","ZR1KM","11","1","399831","698537","-10","-298706","13","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Male"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""USA""}"
"ObjectId(""58e45ca4d46cc6fa347e6b44"")","experiment","juliet","4","axis","longmire","4","9","5","9","1","129734","363423","88798","376048","182197","962735","2499532","M3AYQ","13","14","493157","464846","1","28311","28","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""Canada""}"
"ObjectId(""58e45ca4d46cc6fa347e6b45"")","reverse","juliet","1","axis","longmire","4","9","5","8","2","127547","245656","118415","217142","162691","441470","1694999","0YH05","13","13","373203","335557","0","37646","28","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""China""}"
"ObjectId(""58e45ca4d46cc6fa347e6b46"")","experiment","juliet","1","longmire","axis","4","4","1","2","1","160536","427708","209748","317492","533224","297401","2323129","QP9F4","8","3","588244","527240","-5","61004","12","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""China""}"
"ObjectId(""58e45ca4d46cc6fa347e6b47"")","experiment","juliet","1","longmire","axis","3","4","2","8","1","181805","370971","220025","234185","80766","837224","2274602","C7Q4N","7","10","552776","454210","3","98566","18","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
