"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45c5cd46cc6fa347e637b"")","experiment","kilo","1","longmire","axis","5","7","2","8","1","188644","538358","273269","424650","175483","1752394","3647145","WS8KM","12","10","727002","697919","-2","29083","23","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e637c"")","experiment","kilo","1","longmire","axis","5","9","1","1","2","185641","663855","403242","1205815","113099","432754","3344981","41M35","14","2","849496","1609057","-12","-759561","18","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""USA""}"
"ObjectId(""58e45c5cd46cc6fa347e637d"")","experiment","kilo","1","longmire","axis","4","5","3","8","1","133223","422789","321157","413589","155423","1328269","3125846","UXLVN","9","11","556012","734746","2","-178734","21","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""USA""}"
"ObjectId(""58e45c5cd46cc6fa347e637e"")","reverse","kilo","4","longmire","axis","5","4","4","7","2","127910","468169","241545","544601","223633","940562","3002546","4GZS0","9","11","596079","786146","2","-190067","22","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""23"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e637f"")","reverse","kilo","1","axis","longmire","5","9","5","9","2","166548","377520","185782","300305","255645","1215357","2846428","TZF8P","14","14","544068","486087","0","57981","30","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Humanities"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45c5cd46cc6fa347e6380"")","experiment","kilo","1","longmire","axis","5","6","3","6","1","126416","336121","227191","278381","146862","546478","2626072","0CDY7","11","9","462537","505572","-2","-43035","21","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""21"",""Q1"":""China""}"
"ObjectId(""58e45c5cd46cc6fa347e6381"")","experiment","kilo","4","longmire","axis","3","9","5","8","2","193291","495511","226208","354735","191465","837147","2675464","5AW04","12","13","688802","580943","1","107859","27","{""Q0"":""Spanish"",""Q1"":""Fifth"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""22"",""Q1"":""USA""}"
"ObjectId(""58e45c5cd46cc6fa347e6382"")","experiment","kilo","1","longmire","axis","5","9","3","7","1","180863","478601","291921","298843","208930","782729","2589673","Q3T3X","14","10","659464","590764","-4","68700","25","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States of America""}"
"ObjectId(""58e45c5cd46cc6fa347e6383"")","reverse","kilo","4","axis","longmire","4","8","3","9","2","191285","421053","187092","410753","122940","764273","2479884","YNWL4","12","12","612338","597845","0","14493","26","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""China""}"
"ObjectId(""58e45c5cd46cc6fa347e6384"")","experiment","kilo","4","axis","longmire","5","7","5","7","2","154085","319859","136542","505005","77657","735756","2243420","45B1U","12","12","473944","641547","0","-167603","26","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Math or Computer Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United Arab Emirates""}"
