"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45c2bd46cc6fa347e5ae4"")","experiment","lima","1","longmire","axis","4","3","1","3","0","182273","584583","630185","545670","1390182","291427","3967033","40XZB","7","4","766856","1175855","-3","-408999","11","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""25"",""Q1"":""USA""}"
"ObjectId(""58e45c2bd46cc6fa347e5ae5"")","reverse","lima","1","axis","longmire","2","3","3","4","1","171843","461452","271822","494431","1214616","138672","3062240","SL5GG","5","7","633295","766253","2","-132958","13","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5ae6"")","experiment","lima","4","longmire","axis","5","7","3","8","2","240609","632656","203166","511657","200272","941727","3085555","1DJQB","12","11","873265","714823","-1","158442","25","{""Q0"":""Spanish"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""Mexico""}"
"ObjectId(""58e45c2bd46cc6fa347e5ae7"")","reverse","lima","1","longmire","axis","4","8","2","8","2","197157","557402","330665","563864","214079","850793","3025124","0Z1HR","12","10","754559","894529","-2","-139970","24","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""USA""}"
"ObjectId(""58e45c2bd46cc6fa347e5ae8"")","experiment","lima","1","longmire","axis","4","5","3","4","1","178983","548138","323697","430732","170016","975276","3017807","HJ1HN","9","7","727121","754429","-2","-27308","17","{""Q0"":""Spanish"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States of America""}"
"ObjectId(""58e45c2bd46cc6fa347e5ae9"")","experiment","lima","1","longmire","axis","5","9","5","8","2","171416","480845","215843","375828","573451","291639","2480247","Y4D6B","14","13","652261","591671","-1","60590","29","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Engineering"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""USA""}"
"ObjectId(""58e45c2bd46cc6fa347e5aea"")","reverse","lima","4","longmire","axis","4","6","5","9","2","143171","582570","203856","392099","102021","713824","2427338","KX6W7","10","14","725741","595955","4","129786","26","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5aeb"")","experiment","lima","4","longmire","axis","4","6","4","6","2","144151","514951","185241","454130","135398","599481","2442199","T08QA","10","10","659102","639371","0","19731","22","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45c2bd46cc6fa347e5aec"")","experiment","lima","4","longmire","axis","5","8","5","9","2","147357","341053","145956","334145","97233","785373","2307594","ZZUMG","13","14","488410","480101","1","8309","29","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""China""}"
"ObjectId(""58e45c2bd46cc6fa347e5aed"")","reverse","lima","4","axis","longmire","5","4","5","5","2","162357","303173","247710","434448","123614","630564","2205090","D1Y3M","9","10","465530","682158","1","-216628","21","{""Q0"":""Mandarin or Cantonese"",""Q1"":""Fourth"",""Q2"":""Natural Sciences"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""USA""}"
"ObjectId(""58e45c2bd46cc6fa347e5aee"")","reverse","lima","1","longmire","axis","4","9","2","10","1","142666","592299","409694","538350","161642","688369","3034873","WFZSV","13","12","734965","948044","-1","-213079","26","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""18"",""Q1"":""CHINA""}"
