"_id","experiment","session","condition","lm_scenarios","tm_scenarios","ls_n","lt_n","ts_n","tt_n","d_n","ls_t","lt_t","ts_t","tt_t","d_t","draw_t","totalTime","subject","linear_score","triangular_score","linear_time","triangular_time","score_diff","time_diff","totalScore","demo1","demo2"
"ObjectId(""58e45befd46cc6fa347e5235"")","reverse","november","2","axis","longmire","5","7","4","8","1","174179","391266","273424","422888","83233","1787027","3455159","4H45F","12","12","565445","696312","0","-130867","25","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""us""}"
"ObjectId(""58e45befd46cc6fa347e5236"")","reverse","november","2","longmire","axis","5","8","1","6","2","175200","478438","630386","436175","166347","1197669","3430989","2LN6K","13","7","653638","1066561","-6","-412923","22","{""Q0"":""English"",""Q1"":""First"",""Q2"":""Biomedical & Health Sciences"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""Deja Armstrong"",""Q1"":""United States""}"
"ObjectId(""58e45befd46cc6fa347e5237"")","experiment","mike","2","axis","longmire","5","4","2","7","1","298105","618511","351794","735665","285114","960641","3690372","PR9HV","9","9","916616","1087459","0","-170843","19","{""Q0"":""Mandarin or Cantonese"",""Q1"":""First"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""China""}"
"ObjectId(""58e45befd46cc6fa347e5238"")","reverse","november","3","axis","longmire","5","9","4","9","2","171725","430790","274763","774115","161258","933430","3212119","T82QM","14","13","602515","1048878","-1","-446363","29","{""Q0"":""English"",""Q1"":""Fourth"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""22"",""Q1"":""US""}"
"ObjectId(""58e45befd46cc6fa347e5239"")","reverse","mike","4","longmire","axis","5","9","4","8","1","137296","339417","250852","331759","903443","163419","2511535","M5B60","14","12","476713","582611","-2","-105898","27","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Other"",""Q4"":""the second one (triangular)""}","{""Q0"":""19"",""Q1"":""USA\nUSA""}"
"ObjectId(""58e45befd46cc6fa347e523a"")","reverse","november","2","longmire","axis","4","7","1","0","1","124055","572562","347159","501296","167567","1087232","3151566","BZOAF","11","1","696617","848455","-10","-151838","13","{""Q0"":""English"",""Q1"":""Second"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the first one (linear""}","{""Q0"":""19"",""Q1"":""United States of America""}"
"ObjectId(""58e45befd46cc6fa347e523b"")","reverse","november","3","axis","longmire","3","7","2","0","1","138505","319122","262451","361883","179761","794994","2442081","R0VCG","10","2","457627","624334","-8","-166707","13","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""20"",""Q1"":""United States""}"
"ObjectId(""58e45befd46cc6fa347e523c"")","experiment","november","2","axis","longmire","4","4","5","4","1","267758","348510","327207","436133","192697","472724","2399964","HCU65","8","9","616268","763340","1","-147072","18","{""Q0"":""English"",""Q1"":""Third"",""Q2"":""Natural Sciences"",""Q3"":""Male"",""Q4"":""the second one (triangular)""}","{""Q0"":""21"",""Q1"":""India""}"
"ObjectId(""58e45befd46cc6fa347e523d"")","reverse","november","1","axis","longmire","5","9","4","9","2","155708","404697","269919","437092","79382","1465133","3224513","1RRQY","14","13","560405","707011","-1","-146606","29","{""Q0"":""Other"",""Q1"":""First"",""Q2"":""Engineering"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""18"",""Q1"":""INDIA""}"
"ObjectId(""58e45befd46cc6fa347e523e"")","reverse","november","2","longmire","axis","5","8","3","8","1","115651","419650","350679","418135","492288","153002","2381243","FEK1A","13","11","535301","768814","-2","-233513","25","{""Q0"":""Other"",""Q1"":""Third"",""Q2"":""Social Sciences (incl. CogSci)"",""Q3"":""Female"",""Q4"":""the second one (triangular)""}","{""Q0"":""23"",""Q1"":""South Korea""}"
