SID_QUESTION,VISITORID,SESSIONID
061RN_1,b0c2c593ba7f9c460fe0a1b48ed04557,19945a6cdb6f9c1598d1f7e0eeedc9e6
061RN_10,c741458e9a4beb0387e08afc7f3c7dab,dfb8cb596597e2196f04df6362497b5b
061RN_11,c508d4d38f1d5cbc943d9c34c64d5025,4cc404df96f368a7f0a879ade7989cda
061RN_12,3e373ff3b4c4e1b04406ac27729fce50,0c62e54ef43230cfca5667f98704538f
061RN_13,9fefa86406b4324a5548a221447a1546,9d4d3599ea2469f7ab0d14d4752fbe2c
061RN_14,28f29519e9cd1da124dfa38609dbeefa,2a12a7c4b5d36675490d1e0118c98776
061RN_15,adc1fc2bfac17fc5a263b2aee4646faf,e2e5fb4933bc309ce6ebbe1fd1111408
061RN_2,7e77cf95aff20eb37c72d3b1c579d946,1762983f2c82669c0225d840e52c1698
061RN_3,9e5e34aa08c90398c0ccfd7aed91fd20,0d645a59ea7439630e848a1520a003a3
061RN_4,c08378499f87d293854d88089cadf136,61bba6d20511d25a4ec99c3d6ba5ae8a
061RN_5,596004055969d11d7be61e2114cf0e38,04cd8be62a54f82ddc1aa6f4b045cb85
061RN_6,ade7490789e2a808a032e9f65cb0efef,bbe91d58d5aadd81e004deaa6ee3b63a
061RN_7,f2d51c9ff43ddfa99611e1695bca56be,d7b1f96869b4ddc999e4c46b199342fc
061RN_8,5008648500e63c1e6a61e1119c46cdcd,17bcbfcc421922de34283b866410d8a1
061RN_9,376bbd396a2d8230991b75c59d0bd1eb,35880465b1d79664aa6299915574b732
0NZH6_1,fefcb178bde95d51c554081a9af2bb27,1157519459d2a395f31616763ff53d4d
0NZH6_2,e7f1d59fdc6debad96e028c3ea17127b,1a0f66202d8440526bda6413b59886c3
0NZH6_3,ba7612ae781a1e3cf6c64396a5fbb313,fbe0bc7b4bd23c4426f615e176df90a8
0NZH6_4,4621a6f0d624e41286f67b081053df21,130c624ef51c8d13dd5b8f0df33f1022
0NZH6_5,9b78e81c28b8ab58d1dc710f98ec5084,07a3f3492b1fb5fba1e5a85358bca9c1
0W2TN_1,34a87d1e59bf76366e5ef32686e8c7f6,8503480a7cd996ed9f314584a489b778
0W2TN_10,407a68324d889c8f0f08f5ef22dd75f6,48de4aa180190460566ce1d8d7ea2fd4
0W2TN_11,81ac124af895e53e4e0db56be08936cf,adb9b07581a619be5c5c026617abbe4c
0W2TN_12,c1589d433798a1a815bec9ad306ca597,e40954528d9fa37d48aa88e1aee777c4
0W2TN_13,aca1f660714c12dd5f4faa4ddd1e7ee7,a6ab223e6a2d48a89d975308215f0ca8
0W2TN_14,207ff357cbbb92fbc1ade69eaceefe9c,cddf60f20da434aef321fe8c9644dfac
0W2TN_15,41c20a46db7e7108e21645abef1a0786,3cc1168515fbed4132c20e57a7ad1f2f
0W2TN_2,6be7f8b77645a9a128263835b4c4a857,47b2b2d80c472725ce5e097f6d71c33a
0W2TN_3,e0bb5a20bbd96cc34cc87a3e7073e722,a1f2ef418e05652053d806bccb221872
0W2TN_4,23b14a411c79f2add9eca4f394f281e9,0e11e732f6cfa8b0bdcf168525cfecfc
0W2TN_5,69efc2d2aaf7ce44e01f3fbcbf7ce3a4,c4801ff7f7d5aae259e1302a45711a29
